d_wc,h_wc,d_sort,h_sort,d_pr,h_pr
3979,4926,4263,4928,995,1356
4188,4497,3943,4926,1188,1433
3739,4749,4035,4740,1176,1438
4007,4991,4097,4752,1193,1362
3922,5013,4194,4934,1152,1447
4113,4991,3838,4924,1174,1396
3990,4979,4198,4930,1104,1453
3979,4953,4243,4978,1120,1390
4003,5009,4140,4909,1239,1344
