d_wc,h_wc,d_sort,h_sort,d_pr,h_pr
8.8983,7.481,8.508,7.207,10.869,7.979
8.681,8.195,9.199,7.21,9.108,7.548
9.56,7.76,8.99,7.493,9.198,7.523
8.92,7.384,8.853,7.474,9.068,7.946
9.115,7.352,8.649,7.199,9.391,7.478
8.691,7.384,9.45,7.213,9.215,7.748
8.959,7.406,8.641,7.205,9.798,7.445
8.984,7.44,8.549,7.135,9.657,7.784
8.93,7.358,8.762,7.707,8.73,7.435
