d_wc,h_wc,d_sort,h_sort,d_pr,h_pr
8301,8060,8340,8731,2404,2469
8149,8144,8465,8540,2372,2397
8233,8272,8353,8721,2464,2298
8235,7981,8319,8546,2445,2436
8313,8122,8393,8614,2351,2471
8284,8071,8418,8665,2417,2428
8160,8280,8606,8602,2433,2469
8045,8314,9611,8651,2419,2440
8061,8245,8719,8475,2447,2463
